,title,addr,score,lng,lat
142,하늘이네장칼국수,서울 송파구 오금로53길 37,4.8,127.143541429402,37.4975666325724
143,교대이층집 방이점,서울 송파구 오금로11길 30 전원빌딩 2층,3.6,127.110369475519,37.5150681676132
144,아시안테이블 직영본점,서울 송파구 삼전로 100 아카데미빌딩 2층,3.5,127.090682086454,37.5069630013895
145,당산오돌 방이점,서울 송파구 양재대로71길 2-7,4.1,127.126497236076,37.510568332366
146,도쿄등심 잠실점,서울 송파구 올림픽로 269 롯데캐슬프라자 2층,3.4,127.100611434725,37.5144273491608
147,흥부골숯불돼지왕갈비,서울 송파구 백제고분로33길 35,3.9,127.098557101479,37.5057352011928
148,아웃백스테이크하우스 잠실점,서울 송파구 송파대로 466,4.0,127.1052255664,37.5078875356582
149,골든타이,서울 송파구 위례성대로 66,4.0,127.119422852225,37.514701752822
150,사람사는고깃집 김일도 가락본점,서울 송파구 송파대로30길 25 1층,3.7,127.119870059952,37.4955097167446
151,아낙네그루브,서울 송파구 백제고분로45길 15 5층,3.0,127.109658562422,37.5095775719368
152,동경산책 석촌호수점,서울 송파구 백제고분로45길 15 1층,3.4,127.109658562422,37.5095775719368
153,화삼육,서울 송파구 백제고분로28길 35 지하,4.7,127.09113911925,37.4998882263046
154,해우리 잠실역점,서울 송파구 송파대로 562 웰리스타워 3층,3.4,127.099502662936,37.5153235254771
155,모터시티 잠실점,서울 송파구 백제고분로45길 17-3 2층,3.9,127.10942904496,37.5095574220903
156,홍팥집 오금점,서울 송파구 성내천로 77 1층,3.8,127.138241417879,37.5016063947509
157,인기명 방이점,서울 송파구 오금로15길 7-12 1층,3.4,127.108999672579,37.5128037760586
158,일월고기,서울 송파구 오금로15길 7-16 2층,4.1,127.108925393189,37.5129822433185
159,차이나플레인 문정점,서울 송파구 법원로 128 SK V1 GL 메트로시티 3층 B318~B320호,4.6,127.120489970866,37.4868456339581
160,파오파오 새마을시장본점,서울 송파구 석촌호수로12길 22,3.8,127.084011630643,37.5089469004419
161,어랑,서울 송파구 동남로2길 27,4.2,127.123324581602,37.4870232710483
162,동경레스펍태,서울 송파구 올림픽로32길 30 1~2층,3.2,127.109594,37.5134755
163,스시선 방이점,서울 송파구 올림픽로32길 37,4.5,127.110494519104,37.5131103502257
164,도삭면공방,서울 송파구 백제고분로7길 8-12,4.2,127.079724097941,37.50988439384
165,동래별장,서울 송파구 올림픽로32길 18-11,3.6,127.108834573691,37.5140776771508
166,요리하는남자,서울 송파구 백제고분로7길 27,3.6,127.081867388412,37.5108834930961
167,빈체로 올림픽공원점,서울 송파구 위례성대로 68 1층 102호,3.8,127.119621697958,37.5146279396344
168,제로베이커리 잠실점,서울 송파구 올림픽로 354 1층,3.7,127.109737321138,37.5161703232576
169,고인돌,서울 송파구 가락로18길 4-1,4.3,127.111136147518,37.5018680047487
170,징기스 신천점,서울 송파구 백제고분로7길 28-6 1층,3.3,127.081962939776,37.5104485120791
171,소담촌 가락시장직영점,서울 송파구 송파대로28길 13 거북이빌딩 2층,4.4,127.119419238646,37.4942563328163
172,코메또히또,서울 송파구 송파대로49길 31 1층,3.5,127.101429580653,37.5066624264179
173,이공족발 새내본점,서울 송파구 백제고분로9길 26,4.5,127.081977995538,37.509529387086
174,딹 진또배기,서울 송파구 중대로9길 51 부성빌딩,3.8,127.119125677988,37.4974583549023
175,리얼파스타 잠실점,서울 송파구 가락로 139 2층,4.2,127.111164223599,37.502421646122
176,수작나베 석촌점,서울 송파구 석촌호수로 234 라품미빌딩 1층,4.2,127.102735192556,37.5076453754084
